"Step","leafy-snow-22 - val/accuracy/dataloader_idx_1","leafy-snow-22 - val/accuracy/dataloader_idx_1__MIN","leafy-snow-22 - val/accuracy/dataloader_idx_1__MAX","rare-haze-21 - val/accuracy/dataloader_idx_1","rare-haze-21 - val/accuracy/dataloader_idx_1__MIN","rare-haze-21 - val/accuracy/dataloader_idx_1__MAX","good-microwave-23 - val/accuracy/dataloader_idx_1","good-microwave-23 - val/accuracy/dataloader_idx_1__MIN","good-microwave-23 - val/accuracy/dataloader_idx_1__MAX"
"351","0.8583984375","0.8583984375","0.8583984375","0.83984375","0.83984375","0.83984375","0.8544921875","0.8544921875","0.8544921875"
"704","0.8427734375","0.8427734375","0.8427734375","0.8701171875","0.8701171875","0.8701171875","0.8740234375","0.8740234375","0.8740234375"
"1056","0.8740234375","0.8740234375","0.8740234375","0.8876953125","0.8876953125","0.8876953125","0.8828125","0.8828125","0.8828125"
"1409","0.8720703125","0.8720703125","0.8720703125","0.89453125","0.89453125","0.89453125","0.8779296875","0.8779296875","0.8779296875"
"1762","0.888671875","0.888671875","0.888671875","0.904296875","0.904296875","0.904296875","0.88671875","0.88671875","0.88671875"
"2114","0.888671875","0.888671875","0.888671875","0.9052734375","0.9052734375","0.9052734375","0.90234375","0.90234375","0.90234375"
"2467","0.8857421875","0.8857421875","0.8857421875","0.91015625","0.91015625","0.91015625","0.908203125","0.908203125","0.908203125"
"2819","0.892578125","0.892578125","0.892578125","0.9072265625","0.9072265625","0.9072265625","0.904296875","0.904296875","0.904296875"
"3172","0.8955078125","0.8955078125","0.8955078125","0.9111328125","0.9111328125","0.9111328125","0.9052734375","0.9052734375","0.9052734375"
"3525","0.8935546875","0.8935546875","0.8935546875","0.9150390625","0.9150390625","0.9150390625","0.908203125","0.908203125","0.908203125"
"3877","0.90234375","0.90234375","0.90234375","0.9208984375","0.9208984375","0.9208984375","0.900390625","0.900390625","0.900390625"
"4230","0.904296875","0.904296875","0.904296875","0.912109375","0.912109375","0.912109375","0.908203125","0.908203125","0.908203125"
"4582","0.8994140625","0.8994140625","0.8994140625","0.9169921875","0.9169921875","0.9169921875","0.9111328125","0.9111328125","0.9111328125"
"4935","0.9013671875","0.9013671875","0.9013671875","0.91796875","0.91796875","0.91796875","0.9130859375","0.9130859375","0.9130859375"
"5288","0.9052734375","0.9052734375","0.9052734375","0.9189453125","0.9189453125","0.9189453125","0.9150390625","0.9150390625","0.9150390625"
"5640","0.916015625","0.916015625","0.916015625","0.923828125","0.923828125","0.923828125","0.9169921875","0.9169921875","0.9169921875"
"5993","0.912109375","0.912109375","0.912109375","0.9208984375","0.9208984375","0.9208984375","0.9189453125","0.9189453125","0.9189453125"
"6345","0.90625","0.90625","0.90625","0.923828125","0.923828125","0.923828125","0.91796875","0.91796875","0.91796875"
"6698","0.9111328125","0.9111328125","0.9111328125","0.9267578125","0.9267578125","0.9267578125","0.921875","0.921875","0.921875"
"7051","0.90625","0.90625","0.90625","0.9267578125","0.9267578125","0.9267578125","0.919921875","0.919921875","0.919921875"
"7403","0.9140625","0.9140625","0.9140625","0.92578125","0.92578125","0.92578125","0.9296875","0.9296875","0.9296875"
"7756","0.9150390625","0.9150390625","0.9150390625","0.92578125","0.92578125","0.92578125","0.9248046875","0.9248046875","0.9248046875"
"8108","0.9130859375","0.9130859375","0.9130859375","0.92578125","0.92578125","0.92578125","0.92578125","0.92578125","0.92578125"
"8461","0.9140625","0.9140625","0.9140625","0.9306640625","0.9306640625","0.9306640625","0.9287109375","0.9287109375","0.9287109375"
"8814","0.9130859375","0.9130859375","0.9130859375","0.9306640625","0.9306640625","0.9306640625","0.9306640625","0.9306640625","0.9306640625"
"9166","0.919921875","0.919921875","0.919921875","0.923828125","0.923828125","0.923828125","0.9130859375","0.9130859375","0.9130859375"
"9519","0.923828125","0.923828125","0.923828125","0.9306640625","0.9306640625","0.9306640625","0.9326171875","0.9326171875","0.9326171875"
"9871","0.921875","0.921875","0.921875","0.9306640625","0.9306640625","0.9306640625","0.9287109375","0.9287109375","0.9287109375"
"10224","0.92578125","0.92578125","0.92578125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"10577","0.923828125","0.923828125","0.923828125","0.9365234375","0.9365234375","0.9365234375","0.93359375","0.93359375","0.93359375"
"10929","0.921875","0.921875","0.921875","0.9365234375","0.9365234375","0.9365234375","0.9375","0.9375","0.9375"
"11282","0.919921875","0.919921875","0.919921875","0.9326171875","0.9326171875","0.9326171875","0.9375","0.9375","0.9375"
"11634","0.9228515625","0.9228515625","0.9228515625","0.9375","0.9375","0.9375","0.939453125","0.939453125","0.939453125"
"11987","0.923828125","0.923828125","0.923828125","0.935546875","0.935546875","0.935546875","0.9365234375","0.9365234375","0.9365234375"
"12340","0.921875","0.921875","0.921875","0.939453125","0.939453125","0.939453125","0.9404296875","0.9404296875","0.9404296875"
"12692","0.9248046875","0.9248046875","0.9248046875","0.935546875","0.935546875","0.935546875","0.9404296875","0.9404296875","0.9404296875"
"13045","0.927734375","0.927734375","0.927734375","0.9404296875","0.9404296875","0.9404296875","0.9404296875","0.9404296875","0.9404296875"
"13397","0.9306640625","0.9306640625","0.9306640625","0.9384765625","0.9384765625","0.9384765625","0.943359375","0.943359375","0.943359375"
"13750","0.9306640625","0.9306640625","0.9306640625","0.94140625","0.94140625","0.94140625","0.9443359375","0.9443359375","0.9443359375"
"14103","0.93359375","0.93359375","0.93359375","0.9404296875","0.9404296875","0.9404296875","0.9404296875","0.9404296875","0.9404296875"
"14455","0.9345703125","0.9345703125","0.9345703125","0.9375","0.9375","0.9375","0.94140625","0.94140625","0.94140625"
"14808","0.9306640625","0.9306640625","0.9306640625","0.9443359375","0.9443359375","0.9443359375","0.943359375","0.943359375","0.943359375"
"15160","0.931640625","0.931640625","0.931640625","0.9423828125","0.9423828125","0.9423828125","0.94140625","0.94140625","0.94140625"
"15513","0.93359375","0.93359375","0.93359375","0.943359375","0.943359375","0.943359375","0.9375","0.9375","0.9375"
"15866","0.935546875","0.935546875","0.935546875","0.9443359375","0.9443359375","0.9443359375","0.943359375","0.943359375","0.943359375"
"16218","0.935546875","0.935546875","0.935546875","0.9404296875","0.9404296875","0.9404296875","0.943359375","0.943359375","0.943359375"
"16571","0.931640625","0.931640625","0.931640625","0.9443359375","0.9443359375","0.9443359375","0.9443359375","0.9443359375","0.9443359375"
"16923","0.9326171875","0.9326171875","0.9326171875","0.9462890625","0.9462890625","0.9462890625","0.9443359375","0.9443359375","0.9443359375"
"17276","0.931640625","0.931640625","0.931640625","0.94921875","0.94921875","0.94921875","0.94921875","0.94921875","0.94921875"
"17629","0.943359375","0.943359375","0.943359375","0.94140625","0.94140625","0.94140625","0.9462890625","0.9462890625","0.9462890625"
"17981","0.9365234375","0.9365234375","0.9365234375","0.9443359375","0.9443359375","0.9443359375","0.943359375","0.943359375","0.943359375"
"18334","0.9384765625","0.9384765625","0.9384765625","0.94140625","0.94140625","0.94140625","0.94921875","0.94921875","0.94921875"
"18686","0.9306640625","0.9306640625","0.9306640625","0.9453125","0.9453125","0.9453125","0.951171875","0.951171875","0.951171875"
"19039","0.939453125","0.939453125","0.939453125","0.94921875","0.94921875","0.94921875","0.9423828125","0.9423828125","0.9423828125"
"19392","0.9345703125","0.9345703125","0.9345703125","0.94921875","0.94921875","0.94921875","0.947265625","0.947265625","0.947265625"
"19744","0.94140625","0.94140625","0.94140625","0.9521484375","0.9521484375","0.9521484375","0.94921875","0.94921875","0.94921875"
"20097","0.9365234375","0.9365234375","0.9365234375","0.94921875","0.94921875","0.94921875","0.947265625","0.947265625","0.947265625"
"20449","0.935546875","0.935546875","0.935546875","0.9521484375","0.9521484375","0.9521484375","0.9501953125","0.9501953125","0.9501953125"
"20802","0.9375","0.9375","0.9375","0.943359375","0.943359375","0.943359375","0.9482421875","0.9482421875","0.9482421875"
"21155","0.935546875","0.935546875","0.935546875","0.9462890625","0.9462890625","0.9462890625","0.9462890625","0.9462890625","0.9462890625"
"21507","0.9365234375","0.9365234375","0.9365234375","0.951171875","0.951171875","0.951171875","0.947265625","0.947265625","0.947265625"
"21860","0.9375","0.9375","0.9375","0.9482421875","0.9482421875","0.9482421875","0.955078125","0.955078125","0.955078125"
"22212","0.935546875","0.935546875","0.935546875","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375"
"22565","0.9404296875","0.9404296875","0.9404296875","0.947265625","0.947265625","0.947265625","0.9521484375","0.9521484375","0.9521484375"
"22918","0.9404296875","0.9404296875","0.9404296875","0.9501953125","0.9501953125","0.9501953125","0.9521484375","0.9521484375","0.9521484375"
"23270","0.9375","0.9375","0.9375","0.953125","0.953125","0.953125","0.9501953125","0.9501953125","0.9501953125"
"23623","0.9375","0.9375","0.9375","0.947265625","0.947265625","0.947265625","0.9501953125","0.9501953125","0.9501953125"
"23975","0.9384765625","0.9384765625","0.9384765625","0.951171875","0.951171875","0.951171875","0.9521484375","0.9521484375","0.9521484375"
"24328","0.9384765625","0.9384765625","0.9384765625","0.9501953125","0.9501953125","0.9501953125","0.9560546875","0.9560546875","0.9560546875"
"24681","0.9384765625","0.9384765625","0.9384765625","0.9521484375","0.9521484375","0.9521484375","0.955078125","0.955078125","0.955078125"
"25033","0.94140625","0.94140625","0.94140625","0.951171875","0.951171875","0.951171875","0.953125","0.953125","0.953125"
"25386","0.9365234375","0.9365234375","0.9365234375","0.953125","0.953125","0.953125","0.9482421875","0.9482421875","0.9482421875"
"25738","0.9345703125","0.9345703125","0.9345703125","0.947265625","0.947265625","0.947265625","0.951171875","0.951171875","0.951171875"
"26091","0.94140625","0.94140625","0.94140625","0.94921875","0.94921875","0.94921875","0.9453125","0.9453125","0.9453125"
"26444","0.9423828125","0.9423828125","0.9423828125","0.951171875","0.951171875","0.951171875","0.9453125","0.9453125","0.9453125"
"26796","0.9375","0.9375","0.9375","0.951171875","0.951171875","0.951171875","0.955078125","0.955078125","0.955078125"
"27149","0.943359375","0.943359375","0.943359375","0.9521484375","0.9521484375","0.9521484375","0.955078125","0.955078125","0.955078125"
"27501","0.9462890625","0.9462890625","0.9462890625","0.955078125","0.955078125","0.955078125","0.953125","0.953125","0.953125"
"27854","0.9345703125","0.9345703125","0.9345703125","0.9541015625","0.9541015625","0.9541015625","0.951171875","0.951171875","0.951171875"
"28207","0.9423828125","0.9423828125","0.9423828125","0.953125","0.953125","0.953125","0.9541015625","0.9541015625","0.9541015625"
"28559","0.943359375","0.943359375","0.943359375","0.9541015625","0.9541015625","0.9541015625","0.9501953125","0.9501953125","0.9501953125"
"28912","0.9404296875","0.9404296875","0.9404296875","0.9482421875","0.9482421875","0.9482421875","0.9541015625","0.9541015625","0.9541015625"
"29264","0.94140625","0.94140625","0.94140625","0.955078125","0.955078125","0.955078125","0.953125","0.953125","0.953125"
"29617","0.943359375","0.943359375","0.943359375","0.9443359375","0.9443359375","0.9443359375","0.953125","0.953125","0.953125"
"29970","0.943359375","0.943359375","0.943359375","0.951171875","0.951171875","0.951171875","0.9580078125","0.9580078125","0.9580078125"